Data as of,StartWeek,EndWeek,State,County,Fips Code,COVID-19 Deaths,Total Deaths
9/24/2020,2/1/2020,8/1/2020,AL,Autauga County,1001,18,272
9/24/2020,2/1/2020,8/1/2020,AL,Baldwin County,1003,26,1129
9/24/2020,2/1/2020,8/1/2020,AL,Butler County,1013,22,128
9/24/2020,2/1/2020,8/1/2020,AL,Calhoun County,1015,20,812
9/24/2020,2/1/2020,8/1/2020,AL,Colbert County,1033,16,328
9/24/2020,2/1/2020,8/1/2020,AL,Covington County,1039,36,304
9/24/2020,2/1/2020,8/1/2020,AL,Cullman County,1043,16,515
9/24/2020,2/1/2020,8/1/2020,AL,Dale County,1045,29,252
9/24/2020,2/1/2020,8/1/2020,AL,Dallas County,1047,28,264
9/24/2020,2/1/2020,8/1/2020,AL,Elmore County,1051,29,386
9/24/2020,2/1/2020,8/1/2020,AL,Escambia County,1053,11,208
9/24/2020,2/1/2020,8/1/2020,AL,Etowah County,1055,61,860
9/24/2020,2/1/2020,8/1/2020,AL,Franklin County,1059,10,166
9/24/2020,2/1/2020,8/1/2020,AL,Houston County,1069,114,1048
9/24/2020,2/1/2020,8/1/2020,AL,Jefferson County,1073,373,5439
9/24/2020,2/1/2020,8/1/2020,AL,Lauderdale County,1077,26,754
9/24/2020,2/1/2020,8/1/2020,AL,Lee County,1081,104,698
9/24/2020,2/1/2020,8/1/2020,AL,Limestone County,1083,19,404
9/24/2020,2/1/2020,8/1/2020,AL,Madison County,1089,66,2162
9/24/2020,2/1/2020,8/1/2020,AL,Marengo County,1091,13,134
9/24/2020,2/1/2020,8/1/2020,AL,Marion County,1093,21,225
9/24/2020,2/1/2020,8/1/2020,AL,Marshall County,1095,36,638
9/24/2020,2/1/2020,8/1/2020,AL,Mobile County,1097,270,2933
9/24/2020,2/1/2020,8/1/2020,AL,Montgomery County,1101,261,1806
9/24/2020,2/1/2020,8/1/2020,AL,Morgan County,1103,26,701
9/24/2020,2/1/2020,8/1/2020,AL,Pike County,1109,12,163
9/24/2020,2/1/2020,8/1/2020,AL,St. Clair County,1115,10,433
9/24/2020,2/1/2020,8/1/2020,AL,Shelby County,1117,35,733
9/24/2020,2/1/2020,8/1/2020,AL,Tallapoosa County,1123,61,311
